,class,depth
0,0.0,4184
1,0.0,4185
2,0.0,4186
3,0.0,4187
4,0.0,4188
5,0.0,4189
6,0.0,4190
7,0.0,4191
8,0.0,4192
9,0.0,4193
10,0.0,4194
11,0.0,4195
12,0.0,4196
13,0.0,4197
14,0.0,4198
15,0.0,4199
16,0.0,4200
17,0.0,4201
18,0.0,4202
19,0.0,4203
20,0.0,4204
21,0.0,4205
22,0.0,4206
23,0.0,4207
24,0.0,4208
25,0.0,4209
26,0.0,4210
27,1.0,4211
28,0.0,4212
29,0.0,4213
30,1.0,4214
31,1.0,4215
32,1.0,4216
33,1.0,4217
34,1.0,4218
35,0.0,4219
36,0.0,4220
37,0.0,4221
38,0.0,4222
39,1.0,4223
40,1.0,4224
41,0.0,4225
42,0.0,4226
43,0.0,4227
44,0.0,4228
45,0.0,4229
46,0.0,4230
47,0.0,4231
48,0.0,4232
49,0.0,4233
50,0.0,4234
51,2.0,4235
52,2.0,4236
53,2.0,4237
54,2.0,4238
55,2.0,4239
56,2.0,4240
57,2.0,4241
58,2.0,4242
59,2.0,4243
60,2.0,4244
61,2.0,4245
62,1.0,4246
63,1.0,4247
64,1.0,4248
65,1.0,4249
66,2.0,4250
67,1.0,4251
68,1.0,4252
69,1.0,4253
70,2.0,4254
71,2.0,4255
72,2.0,4256
73,2.0,4257
74,2.0,4258
75,2.0,4259
76,2.0,4260
77,2.0,4261
78,2.0,4262
79,2.0,4263
80,2.0,4264
81,2.0,4265
82,2.0,4266
83,2.0,4267
84,2.0,4268
85,2.0,4269
86,2.0,4270
87,2.0,4271
88,2.0,4272
89,2.0,4273
90,2.0,4274
91,2.0,4275
92,2.0,4276
93,2.0,4277
94,2.0,4278
95,1.0,4279
96,1.0,4280
97,1.0,4281
98,0.0,4282
99,0.0,4283
100,0.0,4284
101,0.0,4285
102,0.0,4286
103,1.0,4287
104,1.0,4288
105,1.0,4289
106,1.0,4290
107,1.0,4291
108,1.0,4292
109,1.0,4293
110,1.0,4294
111,1.0,4295
112,1.0,4296
113,1.0,4297
114,1.0,4298
115,0.0,4299
116,1.0,4300
117,1.0,4301
118,0.0,4302
119,0.0,4303
120,0.0,4304
121,0.0,4305
122,1.0,4306
123,1.0,4307
124,0.0,4308
125,0.0,4309
126,1.0,4310
127,2.0,4311
128,2.0,4312
129,1.0,4313
130,2.0,4314
131,2.0,4315
132,2.0,4316
133,2.0,4317
134,2.0,4318
135,2.0,4319
136,2.0,4320
137,1.0,4321
138,2.0,4322
139,1.0,4323
140,2.0,4324
141,1.0,4325
142,2.0,4326
143,2.0,4327
144,2.0,4328
145,2.0,4329
146,2.0,4330
147,2.0,4331
148,2.0,4332
149,2.0,4333
150,2.0,4334
151,2.0,4335
152,2.0,4336
153,0.0,4337
154,2.0,4338
155,2.0,4339
156,2.0,4340
157,2.0,4341
158,2.0,4342
159,2.0,4343
160,2.0,4344
161,2.0,4345
162,2.0,4346
163,2.0,4347
164,2.0,4348
165,2.0,4349
166,2.0,4350
167,2.0,4351
168,2.0,4352
169,2.0,4353
170,2.0,4354
171,2.0,4355
172,2.0,4356
173,2.0,4357
174,2.0,4358
175,2.0,4359
176,2.0,4360
177,2.0,4361
